Date,Open,High,Low,Close,Volume
01/17/2025,"40.00","40.50","39.77","40.12","99,226"
01/16/2025,"39.90","40.34","39.67","39.83","69,562"
01/15/2025,"40.05","40.38","39.75","40.08","150,918"
01/14/2025,"39.57","40.07","39.25","39.68","94,930"
01/13/2025,"38.26","39.22","38.17","39.18","61,550"
01/10/2025,"38.91","39.33","38.28","38.63","108,409"
01/08/2025,"38.82","39.53","38.44","39.35","89,290"
01/07/2025,"39.24","39.55","38.32","38.92","167,087"
01/06/2025,"39.16","39.39","38.93","39.30","63,423"
01/03/2025,"39.13","39.19","38.60","39.16","53,686"
01/02/2025,"39.85","40.10","38.39","39.02","80,324"
12/31/2024,"39.90","40.32","39.71","39.85","65,858"
12/30/2024,"39.70","39.98","39.18","39.65","46,400"
12/27/2024,"40.20","41.00","39.57","39.89","64,737"
12/26/2024,"40.21","40.64","39.92","40.45","58,048"
12/24/2024,"40.18","40.34","39.74","40.32","26,097"
12/23/2024,"40.13","40.35","39.26","40.09","77,649"
12/20/2024,"39.74","41.01","39.50","40.48","259,276"
12/19/2024,"40.37","40.37","39.33","40.22","136,334"
12/18/2024,"41.14","41.29","39.67","40.06","131,369"
12/17/2024,"40.73","41.43","40.60","41.08","90,999"
12/16/2024,"40.62","42.13","40.62","40.81","161,207"
12/13/2024,"39.68","40.57","39.42","40.50","102,270"
12/12/2024,"39.99","40.26","39.69","39.76","38,099"
12/11/2024,"40.06","40.34","39.62","39.96","81,738"
12/10/2024,"39.90","40.24","39.18","39.74","63,366"
12/09/2024,"39.90","40.27","38.87","39.88","175,422"
12/06/2024,"40.18","40.18","39.28","39.75","53,289"
12/05/2024,"40.66","40.66","39.75","39.81","72,382"
12/04/2024,"40.23","40.71","40.08","40.55","47,123"
12/03/2024,"40.20","40.81","39.93","40.42","73,069"
12/02/2024,"40.70","40.91","39.89","40.47","59,744"
11/29/2024,"40.83","40.89","40.10","40.55","51,401"
11/27/2024,"40.00","40.59","39.99","40.39","97,926"
11/26/2024,"40.50","40.62","39.77","40.00","58,903"
11/25/2024,"39.32","40.83","39.32","40.65","156,705"
11/22/2024,"39.24","39.61","38.95","39.21","52,877"
11/21/2024,"38.46","39.34","38.01","38.96","67,362"
11/20/2024,"38.82","38.82","38.03","38.25","56,917"
11/19/2024,"38.83","39.15","38.48","38.80","70,070"
11/18/2024,"38.10","38.93","37.80","38.85","100,251"
11/15/2024,"38.48","38.52","37.23","38.10","93,482"
11/14/2024,"38.79","38.79","38.01","38.15","60,149"
11/13/2024,"39.63","39.63","38.50","38.57","53,384"
11/12/2024,"40.04","40.29","39.18","39.50","65,543"
11/11/2024,"39.80","40.47","39.58","39.94","102,633"
11/08/2024,"39.39","39.68","39.11","39.39","78,877"
11/07/2024,"39.76","39.77","39.10","39.34","69,422"
11/06/2024,"39.25","39.97","38.76","39.82","189,962"
11/05/2024,"37.28","38.09","37.28","37.97","104,973"
11/04/2024,"36.88","38.19","36.86","37.54","114,201"
11/01/2024,"37.48","37.70","36.17","36.89","154,283"
10/31/2024,"34.00","38.33","34.00","37.39","365,751"
10/30/2024,"32.58","33.00","32.31","32.66","60,629"
10/29/2024,"32.33","32.78","32.33","32.59","35,515"
10/28/2024,"32.14","32.90","32.14","32.64","52,565"
10/25/2024,"32.26","32.47","31.93","32.09","49,229"
10/24/2024,"32.33","32.40","31.71","32.11","89,163"
