Date,Open,High,Low,Close,Volume
01/17/2025,"421.50","439.74","419.75","426.50","94,991,430"
01/16/2025,"423.49","424.00","409.13","413.82","68,335,148"
01/15/2025,"409.90","429.80","405.66","428.22","81,375,453"
01/14/2025,"414.34","422.64","394.54","396.36","84,565,023"
01/13/2025,"383.21","403.79","380.07","403.31","67,580,484"
01/10/2025,"391.40","399.28","377.29","394.74","62,287,328"
01/08/2025,"392.95","402.50","387.40","394.94","73,038,805"
01/07/2025,"405.83","414.33","390.00","394.36","75,699,531"
01/06/2025,"423.20","426.43","401.70","411.05","85,516,531"
01/03/2025,"381.48","411.88","379.45","410.44","95,423,328"
01/02/2025,"390.10","392.73","373.04","379.28","109,710,703"
12/31/2024,"423.79","427.93","402.54","403.84","76,825,117"
12/30/2024,"419.40","427.00","415.75","417.41","64,941,008"
12/27/2024,"449.52","450.00","426.50","431.66","82,666,812"
12/26/2024,"465.16","465.33","451.02","454.13","76,651,211"
12/24/2024,"435.90","462.78","435.14","462.28","59,551,754"
12/23/2024,"431.00","434.51","415.41","430.60","72,698,062"
